ID,Treatment,Block,Plot,Quadrat,X,Y,Shrub,Compass,Distance,Year,Age,Size,Fert
C.II.5.12.27.25,C,II,5,12,27,25,NA,NA,NA,1997,999,5,2
C.II.5.12.65.50,C,II,5,12,65,50,NA,NA,NA,1997,NA,NA,NA
C.II.5.12.72.30,C,II,5,12,72,30,NA,NA,NA,1997,NA,NA,NA
C.II.5.12.72.30,C,II,5,12,72,30,NA,NA,NA,1997,NA,NA,NA
C.II.5.12.95.62,C,II,5,12,95,62,NA,NA,NA,1997,1,1,0
C.III.9.1.28.94,C,III,9,1,28,94,NA,NA,NA,1997,NA,NA,NA
C.III.9.1.44.47,C,III,9,1,44,47,NA,NA,NA,1997,NA,NA,NA
C.III.9.1.56.47,C,III,9,1,56,47,NA,NA,NA,1997,NA,NA,NA
C.III.9.1.62.96,C,III,9,1,62,96,NA,NA,NA,1997,NA,NA,NA
C.III.9.1.77.90,C,III,9,1,77,90,NA,NA,NA,1997,NA,NA,NA
C.III.9.1.82.56,C,III,9,1,82,56,NA,NA,NA,1997,1,2,0
C.III.9.1.89.72,C,III,9,1,89,72,NA,NA,NA,1997,999,10,2
C.III.9.1.95.88,C,III,9,1,95,88,At,110,4,1997,NA,NA,NA
C.III.9.2.2.54,C,III,9,2,2,54,NA,NA,NA,1997,999,12,4
C.III.9.2.12.27,C,III,9,2,12,27,NA,NA,NA,1997,999,19,10
C.III.9.2.12.31,C,III,9,2,12,31,NA,NA,NA,1997,999,9,2
C.III.9.2.12.64,C,III,9,2,12,64,NA,NA,NA,1997,NA,NA,NA
C.III.9.2.20.49,C,III,9,2,20,49,NA,NA,NA,1997,NA,NA,NA
C.III.9.2.20.69,C,III,9,2,20,69,NA,NA,NA,1997,NA,NA,NA
C.III.9.2.20.93,C,III,9,2,20,93,NA,NA,NA,1997,1,4,0
C.III.9.2.24.57,C,III,9,2,24,57,NA,NA,NA,1997,999,7,0
C.III.9.2.24.65,C,III,9,2,24,65,NA,NA,NA,1997,999,7,6
C.III.9.2.30.48,C,III,9,2,30,48,NA,NA,NA,1997,NA,NA,NA
C.III.9.2.30.95,C,III,9,2,30,95,NA,NA,NA,1997,999,9,6
C.III.9.2.31.37,C,III,9,2,31,37,NA,NA,NA,1997,999,19,6
C.III.9.2.31.60,C,III,9,2,31,60,NA,NA,NA,1997,999,18,2
C.III.9.2.44.95,C,III,9,2,44,95,NA,NA,NA,1997,NA,NA,NA
C.III.9.2.94.30,C,III,9,2,94,30,NA,NA,NA,1997,999,9,0
C.III.9.3.0.30,C,III,9,3,0,30,NA,NA,NA,1997,999,20,8
C.III.9.3.8.41,C,III,9,3,8,41,NA,NA,NA,1997,1,1,0
C.III.9.3.11.56,C,III,9,3,11,56,NA,NA,NA,1997,NA,NA,NA
C.III.9.3.15.47,C,III,9,3,15,47,NA,NA,NA,1997,NA,NA,NA
C.III.9.3.17.2,C,III,9,3,17,2,NA,NA,NA,1997,NA,NA,NA
C.III.9.3.24.90,C,III,9,3,24,90,NA,NA,NA,1997,NA,NA,NA
C.III.9.3.30.69,C,III,9,3,30,69,NA,NA,NA,1997,NA,NA,NA
C.III.9.3.32.86,C,III,9,3,32,86,NA,NA,NA,1997,NA,NA,NA
C.III.9.3.36.77,C,III,9,3,36,77,NA,NA,NA,1997,999,14,2
C.III.9.3.37.25,C,III,9,3,37,25,NA,NA,NA,1997,NA,NA,NA
C.III.9.3.37.49,C,III,9,3,37,49,NA,NA,NA,1997,999,12,6
C.III.9.3.42.78,C,III,9,3,42,78,NA,NA,NA,1997,NA,NA,NA
C.III.9.3.44.42,C,III,9,3,44,42,NA,NA,NA,1997,999,12,0
C.III.9.3.46.80,C,III,9,3,46,80,NA,NA,NA,1997,NA,NA,NA
C.III.9.3.47.18,C,III,9,3,47,18,NA,NA,NA,1997,NA,NA,NA
C.III.9.3.60.82,C,III,9,3,60,82,NA,NA,NA,1997,NA,NA,NA
C.III.9.3.66.14,C,III,9,3,66,14,NA,NA,NA,1997,NA,NA,NA
C.III.9.3.70.71,C,III,9,3,70,71,NA,NA,NA,1997,NA,NA,NA
C.III.9.3.72.65,C,III,9,3,72,65,NA,NA,NA,1997,NA,NA,NA
C.III.9.3.72.88,C,III,9,3,72,88,NA,NA,NA,1997,999,14,2
C.III.9.3.82.27,C,III,9,3,82,27,NA,NA,NA,1997,NA,NA,NA
C.III.9.3.90.46,C,III,9,3,90,46,NA,NA,NA,1997,NA,NA,NA
C.III.9.3.97.87,C,III,9,3,97,87,NA,NA,NA,1997,NA,NA,NA
C.III.9.3.99.0,C,III,9,3,99,0,Cn,254,5,1997,NA,NA,NA
C.III.9.3.99.16,C,III,9,3,99,16,NA,NA,NA,1997,999,9,0
C.III.9.3.99.99,C,III,9,3,99,99,NA,NA,NA,1997,NA,NA,NA
C.III.9.4.50.12,C,III,9,4,50,12,At,140,4,1997,1,2,0
